task_id	task_name	train_dataset	test_dataset	reference_size	reference_fraction	repeat	n_samples	n_positive	n_negative	strategy	preprocessing_method	external_reference_strategy	roc_auc	average_precision	balanced_accuracy	brier_score	predicted_positive_rate	median_score_negative	median_score_positive
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	28	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9607843137254901	0.05756447460480573	0.6438356164383562	1.515193115150975e-13	0.9996793735659514
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	29	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9772727272727273	0.006908607484149553	0.7123287671232876	8.234538081357723e-05	0.9999999983029146
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	30	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9313725490196079	0.09277319925651718	0.6027397260273972	1.765815136038966e-14	0.9981470236092621
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	31	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.7647058823529411	0.3181828394674009	0.3698630136986301	1.52711128184845e-26	0.7449178959390016
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	32	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8863636363636364	0.05551421726501304	0.7671232876712328	0.012489732914202814	0.9999999966313338
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	33	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.892156862745098	0.13397939615137425	0.547945205479452	2.7406851317707894e-19	0.9989259450175508
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	34	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9803921568627452	0.018421053366903084	0.6712328767123288	2.134288231206384e-09	0.9999983462730239
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	35	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9090909090909092	0.04878175990632756	0.7534246575342466	0.005658303429531896	0.9999999991583497
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	36	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9019607843137255	0.11966640036133416	0.5616438356164384	7.02882614869781e-16	0.9933278385037138
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	37	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8137254901960784	0.23219829366544065	0.4383561643835616	5.378394119663685e-26	0.9680643876695261
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	38	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9607843137254901	0.04467521545304195	0.6438356164383562	5.567842915427296e-10	0.9989444089724715
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	39	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8725490196078431	0.1391074773497172	0.5205479452054794	8.072188304518547e-16	0.989505809847863
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	40	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8823529411764706	0.13071634052371062	0.5342465753424658	6.5884756142315494e-15	0.9945631977783892
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	41	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9772727272727273	0.01693401442413088	0.7123287671232876	0.00020103591967440972	0.9999999999999949
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	42	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9705882352941176	0.03684646234173323	0.6575342465753424	6.324488693199092e-10	0.9999957386837718
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	43	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	1.0	0.004455398755583018	0.6986301369863014	6.609165867303323e-05	0.99999999995756
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	44	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9117647058823529	0.10093850295356593	0.5753424657534246	1.8747641346380133e-16	0.9993794839011749
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	45	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.7727272727272727	0.11457095251769228	0.8356164383561644	0.32899773050431247	1.0
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	46	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9803921568627452	0.024920765322002356	0.6712328767123288	3.471070435723681e-11	0.9999841827980032
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	47	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.7254901960784313	0.318964689228798	0.3150684931506849	3.450124763156828e-28	0.4781936929222855
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	48	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9803921568627452	0.028971917513223543	0.6712328767123288	6.028401121538315e-10	0.9999973431709077
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	5	0.0684931506849315	49	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9215686274509804	0.08079120961300543	0.589041095890411	1.5125113366935193e-08	0.9785504610247331
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	0	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9509803921568627	0.06664208861176368	0.6301369863013698	1.5480724663373995e-07	0.9911516479144875
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	1	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9509803921568627	0.046969550869272805	0.6301369863013698	1.3404174931157891e-06	0.9939391260095813
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	2	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8137254901960784	0.20679150218077752	0.4383561643835616	1.806825954275553e-11	0.7847817995177115
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	3	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.8333333333333333	0.19121501855142506	0.4657534246575342	1.840494104511759e-11	0.8091101070660616
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	4	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.7745098039215687	0.2545991110597995	0.3835616438356164	1.9858360712011154e-12	0.652900469817041
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	5	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9901960784313726	0.007963568706066987	0.684931506849315	3.244174484846266e-05	0.9999625316799825
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	6	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9705882352941176	0.026930380363699855	0.6575342465753424	2.027314822106662e-06	0.9973664124312696
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	7	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9772727272727273	0.013474352612626002	0.7123287671232876	0.002482759183528852	0.9999999995108493
