task_id	task_name	method	strategy	preprocessing_method	external_reference_strategy	evaluation_type	dataset_id	threshold_type	n_samples	n_positive	n_negative	threshold	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	balanced_accuracy	observed_positive_rate	predicted_positive_rate
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.35	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.36	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.37	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.38	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.39	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.4	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.41	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.42	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.43	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.44	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
